window_start,window_end,model,N,breaches,coverage,kupiec_p,christoffersen_p,band_95pct,status_95pct
2023-02-17,2024-02-15,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-21,2024-02-16,HAR,250,26,0.104,0.0005718444787090604,0.8404641024587679,6-20,too_many[6-20]
2023-02-21,2024-02-16,GARCH_t,250,6,0.024,0.03660569014042203,0.49503051673380005,6-20,within[6-20]
2023-02-21,2024-02-16,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-22,2024-02-20,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-02-22,2024-02-20,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-22,2024-02-20,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-23,2024-02-21,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-02-23,2024-02-21,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-23,2024-02-21,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-24,2024-02-22,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-02-24,2024-02-22,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-24,2024-02-22,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-27,2024-02-23,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-02-27,2024-02-23,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-27,2024-02-23,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-28,2024-02-26,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-02-28,2024-02-26,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-28,2024-02-26,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-03-01,2024-02-27,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-03-01,2024-02-27,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
